"pur_id","pur_slm_id","pur_gold_cost","pur_labor_cost","pur_method","pur_official_invoice","pur_date","pur_billing_date","pur_weight","pur_invoice_no","pur_last_update","pur_created_at","pur_total_trade_in_amt","pur_total_cash_amt","pur_total_amt","pur_payment_status","pur_code"
PUR_100001,SLM_100006,128.0,0,CASH,1,2011-01-01,2011-01-01,0,,2025-04-03 16:06:56.290,2025-04-03 16:06:56.290,,,,PAID,"0111MG"
PUR_100002,SLM_100007,127.5,0,CASH,1,2011-01-01,2011-01-01,0,,2025-04-03 16:06:56.290,2025-04-03 16:06:56.290,,,,PAID,"0111SLG"
PUR_100003,SLM_100008,156.5,0,CASH,1,2012-01-01,2012-01-01,0,,2025-04-03 16:06:56.290,2025-04-03 16:06:56.290,,,,PAID,"0112MH"
PUR_100004,SLM_100009,155.0,0,CASH,1,2012-01-01,2012-01-01,0,,2025-04-03 16:06:56.350,2025-04-03 16:06:56.350,,,,PAID,"0112SH"
PUR_100005,SLM_100007,157.5,0,CASH,1,2012-01-01,2012-01-01,0,,2025-04-03 16:06:56.350,2025-04-03 16:06:56.350,,,,PAID,"0112SLG"
PUR_100006,SLM_100010,157.0,0,CASH,1,2012-01-01,2012-01-01,0,,2025-04-03 16:06:56.350,2025-04-03 16:06:56.350,,,,PAID,"0112YX"
PUR_100007,SLM_100011,155.0,0,CASH,1,2013-01-01,2013-01-01,0,,2025-04-03 16:06:56.406,2025-04-03 16:06:56.406,,,,PAID,"0113GBT"
PUR_100008,SLM_100007,157.0,0,CASH,1,2013-01-01,2013-01-01,0,,2025-04-03 16:06:56.406,2025-04-03 16:06:56.406,,,,PAID,"0113SLG"
PUR_100009,SLM_100010,152.5,0,CASH,1,2013-01-01,2013-01-01,0,,2025-04-03 16:06:56.406,2025-04-03 16:06:56.406,,,,PAID,"0113YX"
PUR_100010,SLM_100012,123.0,0,CASH,1,2014-01-01,2014-01-01,0,,2025-04-03 16:06:56.465,2025-04-03 16:06:56.465,,,,PAID,"0114MGI"
PUR_100011,SLM_100007,123.5,0,CASH,1,2014-01-01,2014-01-01,0,,2025-04-03 16:06:56.465,2025-04-03 16:06:56.465,,,,PAID,"0114SLG"
PUR_100012,SLM_100010,124.0,0,CASH,1,2014-01-01,2014-01-01,0,,2025-04-03 16:06:56.465,2025-04-03 16:06:56.465,,,,PAID,"0114YX"
PUR_100013,SLM_100013,131.2,0,CASH,1,2015-01-01,2015-01-01,0,,2025-04-03 16:06:56.521,2025-04-03 16:06:56.521,,,,PAID,"0115DE"
PUR_100014,SLM_100014,140.8,0,CASH,1,2015-01-01,2015-01-01,0,,2025-04-03 16:06:56.521,2025-04-03 16:06:56.521,,,,PAID,"0115FS"
PUR_100015,SLM_100011,141.6,0,CASH,1,2015-01-01,2015-01-01,0,,2025-04-03 16:06:56.521,2025-04-03 16:06:56.521,,,,PAID,"0115GBT"
PUR_100016,SLM_100012,129.8,0,CASH,1,2015-01-01,2015-01-01,0,,2025-04-03 16:06:56.587,2025-04-03 16:06:56.587,,,,PAID,"0115MGI"
PUR_100017,SLM_100007,134.0,0,CASH,1,2015-01-01,2015-01-01,0,,2025-04-03 16:06:56.587,2025-04-03 16:06:56.587,,,,PAID,"0115SLG"
PUR_100018,SLM_100010,135.0,0,CASH,1,2015-01-01,2015-01-01,0,,2025-04-03 16:06:56.587,2025-04-03 16:06:56.587,,,,PAID,"0115YX"
PUR_100019,SLM_100011,144.8,0,CASH,1,2016-01-01,2016-01-01,0,,2025-04-03 16:06:56.666,2025-04-03 16:06:56.666,,,,PAID,"0116GBT"
PUR_100020,SLM_100012,144.0,0,CASH,1,2016-01-01,2016-01-01,0,,2025-04-03 16:06:56.666,2025-04-03 16:06:56.666,,,,PAID,"0116MGI"
PUR_100021,SLM_100007,148.05,0,CASH,1,2016-01-01,2016-01-01,0,,2025-04-03 16:06:56.666,2025-04-03 16:06:56.666,,,,PAID,"0116SLG"
PUR_100022,SLM_100015,144.3,0,CASH,1,2016-01-01,2016-01-01,0,,2025-04-03 16:06:56.714,2025-04-03 16:06:56.714,,,,PAID,"0116YF"
PUR_100023,SLM_100010,140.6,0,CASH,1,2016-01-01,2016-01-01,0,,2025-04-03 16:06:56.714,2025-04-03 16:06:56.714,,,,PAID,"0116YX"
PUR_100024,SLM_100013,164.2,0,CASH,1,2017-01-01,2017-01-01,0,,2025-04-03 16:06:56.714,2025-04-03 16:06:56.714,,,,PAID,"0117DE"
PUR_100025,SLM_100016,156.2,0,CASH,1,2017-01-01,2017-01-01,0,,2025-04-03 16:06:56.765,2025-04-03 16:06:56.765,,,,PAID,"0117HL"
PUR_100026,SLM_100012,159.5,0,CASH,1,2017-01-01,2017-01-01,0,,2025-04-03 16:06:56.765,2025-04-03 16:06:56.765,,,,PAID,"0117MGI"
PUR_100027,SLM_100007,163.9,0,CASH,1,2017-01-01,2017-01-01,0,,2025-04-03 16:06:56.765,2025-04-03 16:06:56.765,,,,PAID,"0117SLG"
PUR_100028,SLM_100017,162.6,0,CASH,1,2017-01-01,2017-01-01,0,,2025-04-03 16:06:56.815,2025-04-03 16:06:56.815,,,,PAID,"0117XW"
PUR_100029,SLM_100010,163.6,0,CASH,1,2017-01-01,2017-01-01,0,,2025-04-03 16:06:56.815,2025-04-03 16:06:56.815,,,,PAID,"0117YX"
PUR_100030,SLM_100013,159.4,0,CASH,1,2018-01-01,2018-01-01,0,,2025-04-03 16:06:56.815,2025-04-03 16:06:56.815,,,,PAID,"0118DE"
PUR_100031,SLM_100007,160.9,0,CASH,1,2018-01-01,2018-01-01,0,,2025-04-03 16:06:56.869,2025-04-03 16:06:56.869,,,,PAID,"0118SLG"
PUR_100032,SLM_100017,158.6,0,CASH,1,2018-01-01,2018-01-01,0,,2025-04-03 16:06:56.869,2025-04-03 16:06:56.869,,,,PAID,"0118XW"
PUR_100033,SLM_100015,159.7,0,CASH,1,2018-01-01,2018-01-01,0,,2025-04-03 16:06:56.869,2025-04-03 16:06:56.869,,,,PAID,"0118YF"
PUR_100034,SLM_100018,160.5,0,CASH,1,2018-01-01,2018-01-01,0,,2025-04-03 16:06:56.921,2025-04-03 16:06:56.921,,,,PAID,"0118YM"
PUR_100035,SLM_100010,159.1,0,CASH,1,2018-01-01,2018-01-01,0,,2025-04-03 16:06:56.921,2025-04-03 16:06:56.921,,,,PAID,"0118YX"
PUR_100036,SLM_100011,161.53,0,CASH,1,2019-01-01,2019-01-01,0,,2025-04-03 16:06:56.921,2025-04-03 16:06:56.921,,,,PAID,"0119GBT"
PUR_100037,SLM_100007,161.98,0,CASH,1,2019-01-01,2019-01-01,0,,2025-04-03 16:06:56.969,2025-04-03 16:06:56.969,,,,PAID,"0119SLG"
PUR_100038,SLM_100017,160.71,0,CASH,1,2019-01-01,2019-01-01,0,,2025-04-03 16:06:56.969,2025-04-03 16:06:56.969,,,,PAID,"0119XW"
PUR_100039,SLM_100018,160.03,0,CASH,1,2019-01-01,2019-01-01,0,,2025-04-03 16:06:56.969,2025-04-03 16:06:56.969,,,,PAID,"0119YM"
PUR_100040,SLM_100010,163.54,0,CASH,1,2019-01-01,2019-01-01,0,,2025-04-03 16:06:57.028,2025-04-03 16:06:57.028,,,,PAID,"0119YX"
PUR_100041,SLM_100011,191.64,0,CASH,1,2020-01-01,2020-01-01,0,,2025-04-03 16:06:57.028,2025-04-03 16:06:57.028,,,,PAID,"0120GBT"
PUR_100042,SLM_100019,191.69,0,CASH,1,2020-01-01,2020-01-01,0,,2025-04-03 16:06:57.028,2025-04-03 16:06:57.028,,,,PAID,"0120LUX"
PUR_100043,SLM_100007,197.0,0,CASH,1,2020-01-01,2020-01-01,0,,2025-04-03 16:06:57.084,2025-04-03 16:06:57.084,,,,PAID,"0120SLG"
PUR_100044,SLM_100015,193.32,0,CASH,1,2020-01-01,2020-01-01,0,,2025-04-03 16:06:57.084,2025-04-03 16:06:57.084,,,,PAID,"0120YF"
PUR_100045,SLM_100010,197.74,0,CASH,1,2020-01-01,2020-01-01,0,,2025-04-03 16:06:57.084,2025-04-03 16:06:57.084,,,,PAID,"0120YX"
PUR_100046,SLM_100020,229.54,0,CASH,1,2021-01-01,2021-01-01,0,,2025-04-03 16:06:57.131,2025-04-03 16:06:57.131,,,,PAID,"0121JJT"
