"stk_id","stk_type","stk_weight","stk_size","stk_length","stk_labor_cost","stk_labor_sell","stk_pur_date","stk_sell_date","stk_gold_cost","stk_gold_sell","stk_status","stk_profit","stk_pattern","stk_gold_type","stk_last_update","stk_pur_id","stk_created_at","stk_sale_id","stk_book_id","stk_returned","stk_barcode","stk_remark","stk_tag","stk_weight_sell","stk_weight_book","stk_labor_book","stk_gold_book","stk_book_price","stk_printed"
STK_100001,RING,1.58,14.0,,28.0,,,,223.48,,,,BERBENTUK,"916",2025-04-05 05:06:02.503,PUR_100591,2025-04-05 05:06:02.503,,,"0",JB2400390001,,"LOVE,SINOVAC",,,,,,0
STK_100002,RING,1.53,16.0,,28.0,,,,223.48,,,,BERBENTUK,"916",2025-04-05 05:06:02.503,PUR_100591,2025-04-05 05:06:02.503,,,"0",JB2400390002,,"LOVE,SINOVAC",,,,,,0
STK_100003,RING,1.46,18.0,,28.0,,,,223.48,,,,BERBENTUK,"916",2025-04-05 05:06:02.503,PUR_100591,2025-04-05 05:06:02.503,,,"0",JB2400390003,,"LOVE,SINOVAC",,,,,,0
STK_100004,RING,3.48,15.0,,42.0,,,,162.7,,,,BERBENTUK,"916",2025-04-05 05:06:02.503,PUR_100411,2025-04-05 05:06:02.503,,,"0",JA6300530004,,"2C, BUTTERFLY, FLOWER",,,,,,0
STK_100005,RING,3.16,16.0,,42.0,,,,162.7,,,,BERBENTUK,"916",2025-04-05 05:06:02.503,PUR_100411,2025-04-05 05:06:02.503,,,"0",JA6300530005,,"2C, 2 BUTTERFLY",,,,,,0
STK_100006,RING,4.65,14.0,,30.0,,,,157.52,,,,BERBENTUK,"916",2025-04-05 05:06:02.503,PUR_100242,2025-04-05 05:06:02.503,,,"0",JA5800410006,,转运算盘,,,,,,0
STK_100007,RING,4.7,14.0,,30.0,,,,157.52,,,,BERBENTUK,"916",2025-04-05 05:06:02.503,PUR_100242,2025-04-05 05:06:02.503,,,"0",JA5800410007,,转运算盘,,,,,,0
STK_100008,RING,5.19,22.0,,45.0,,,,162.7,,,,BERBENTUK,"916",2025-04-05 05:06:02.503,PUR_100411,2025-04-05 05:06:02.503,,,"0",JA6300560008,,转运$,,,,,,0
STK_100009,RING,6.13,17.0,,34.0,,,,155.7,,,,BELAH ROTAN,"916",2025-04-05 05:06:02.503,PUR_100719,2025-04-05 05:06:02.503,,,"0",JA5600450009,,"6寿临门",,,,,,0
STK_100010,RING,5.37,22.0,,34.0,,,,155.7,,,,BELAH ROTAN,"916",2025-04-05 05:06:02.503,PUR_100719,2025-04-05 05:06:02.503,,,"0",JA5600450010,,"6寿临门",,,,,,0
STK_100023,RING,6.43,17.0,,51.0,,,,127.0,,,,BERBENTUK,"916",2025-04-05 05:11:10.811,PUR_100086,2025-04-05 05:11:10.811,,,"0",JA2700620023,,"2C, FLOWER",,,,,,0
STK_100024,RING,4.61,16.0,,38.0,,,,153.5,,,,BERBENTUK,"916",2025-04-05 05:11:10.811,PUR_100956,2025-04-05 05:11:10.811,,,"0",JA5400490024,,"2C, CURVE LINE",,,,,,0
STK_100025,RING,3.93,16.0,,22.0,,,,153.86,,,,BERBENTUK,"916",2025-04-05 05:11:10.811,PUR_100356,2025-04-05 05:11:10.811,,,"0",JA5400330025,,OVERLAP NET,,,,,,0
STK_100026,RING,5.0,18.0,,40.0,,,,164.2,,,,BERBENTUK,"916",2025-04-05 05:11:10.811,PUR_100574,2025-04-05 05:11:10.811,,,"0",JA6500510026,,"2C, FLOWER",,,,,,0
