stk_id,stk_weight,stk_size,stk_tag,stk_labor_cost,market_price,discount_price
STK_100001,1.58,14.0,"LOVE,SINOVAC",28.0,976.8,867.45
STK_100002,1.53,16.0,"LOVE,SINOVAC",28.0,949.3,842.44
STK_100003,1.46,18.0,"LOVE,SINOVAC",28.0,910.8,807.42
STK_100004,3.48,15.0,"2C, BUTTERFLY, FLOWER",42.0,2075.71,1856.49
STK_100005,3.16,16.0,"2C, 2 BUTTERFLY",42.0,1899.7,1696.4
STK_100006,4.65,14.0,转运算盘,30.0,2673.0,2408.82
STK_100007,4.7,14.0,转运算盘,30.0,2700.5,2433.83
STK_100008,5.19,22.0,转运$,45.0,3027.76,2720.22
STK_100009,6.13,17.0,6寿临门,34.0,3502.4,3160.24
STK_100010,5.37,22.0,6寿临门,34.0,3084.4,2780.02
STK_100023,6.43,17.0,"2C, FLOWER",51.0,3732.86,3357.07
STK_100024,4.61,16.0,"2C, CURVE LINE",38.0,2681.8,2410.81
STK_100025,3.93,16.0,OVERLAP NET,22.0,2246.21,2026.62
STK_100026,5.0,18.0,"2C, FLOWER",40.0,2904.01,2611.42
