"slm_id","slm_name"
SLM_100006,MG
SLM_100007,SLG
SLM_100008,MH
SLM_100009,SH
SLM_100010,YX
SLM_100011,GBT
SLM_100012,MGI
SLM_100013,DE
SLM_100014,FS
SLM_100015,YF
SLM_100016,HL
SLM_100017,XW
SLM_100018,YM
SLM_100019,LUX
SLM_100020,JJT
SLM_100021,HJ
SLM_100022,RB
SLM_100023,CJ
SLM_100024,SF
SLM_100025,TC
SLM_100026,WX
SLM_100027,CJ7
SLM_100028,KJS
SLM_100029,KP
SLM_100030,KF
SLM_100031,MK
SLM_100032,OT
SLM_100033,YK
SLM_100034,JS
SLM_100035,GC
SLM_100036,JF
SLM_100037,JX
SLM_100038,KDB
SLM_100039,RG
SLM_100040,MGT
SLM_100041,KLD
SLM_100042,WK
SLM_100043,DC
SLM_100044,GM
SLM_100045,GG
SLM_100046,GCJ
SLM_100047,TJ
