stk_type,stk_weight,stk_size,stk_length,stk_width,stk_labor_cost,pur_code,stk_pattern,stk_gold_type,stk_returned,stk_remark,stk_tag
PENDANT,5.76,,,,55,1225YX,马头 1,916,0,,
PENDANT,2.49,,,,35,1225YX,马头 2,916,0,,
PENDANT,5.49,,,,55,1225YX,马+钱袋,916,0,,半面全马身
PENDANT,3.13,,,,20,0225YX,招财锦鲤,916,0,,镂空鱼
PENDANT,4.25,,,,28,1223TC,财神爷,916,0,,
PENDANT,6.35,,,,58,1018YX,金饭桶,916,0,,镂空
PENDANT,10,,,,128,0824YX,貔貅算盘_招财貔貅,916,0,,
PENDANT,8.29,,,,65,0824YX,金钱貔貅_招财貔貅,916,0,,
PENDANT,5.81,,,,80,1124YX,升官发财,916,0,,
PENDANT,8.14,,,,160,0625MKT,Dubai年年有余,916,0,,红石;活
