book_gold_price,book_labor_price,book_price,book_remaining,book_date,book_cust_id,book_weight,book_receipt_no,book_status
123,23,260,248,10/13/2024,,2,123,
123,23,269,246,10/13/2024,,2,123,
400,10,410,400,12/1/2024,CUST_100001,1,123,
400,12,412,400,12/1/2024,CUST_100001,1,1234,
400,23,423,400,12/1/2024,CUST_100001,1,12345,
400,12,412,400,12/1/2024,CUST_100001,1,123456,
400,12,412,400,12/1/2024,CUST_100001,1,123456,
400,12,412,400,12/1/2024,CUST_100001,1,1234567,
400,12,812,800,12/1/2024,CUST_100001,2,12345678,
400,23,823,800,12/1/2024,CUST_100001,2,1,
400,1,401,400,12/1/2024,CUST_100001,1,12,
300,12,312,300,12/1/2024,CUST_100001,1,123,
123,123,246,234,12/3/2024,CUST_100001,1,123,
400,12,412,400,12/1/2024,CUST_100001,1,12345678,
123,123,246,200,12/18/2024,CUST_100001,1,123,
400,12,412,400,12/1/2024,CUST_100001,1,1234,
10,10,65,45,12/12/2024,CUST001,2,123,BOOKED
20,0,0,80,12/12/2024,CUST001,0,123,BOOKED
20,0,0,,12/12/2024,CUST001,0,123,BOOKED
20,0,0,100,12/12/2024,CUST001,0,123,BOOKED
20,0,0,100,12/12/2024,CUST001,0,123,BOOKED
20,20,80,30,12/12/2024,CUST003,3,123,BOOKED
390,520,10192,5192,12/12/2024,CUST_100001,24.8,1234567,BOOKED
