pur_slm_id,pur_gold_cost,pur_labor_cost,pur_method,pur_official_invoice,pur_date,pur_billing_date,pur_weight,pur_invoice_no
SLM-002,6200,9999,Trade-in,0,8/3/2024,8/27/2024,8,INV-002
SLM-003,4700,350,Cash,1,8/7/2024,8/12/2024,9.2,INV-003
SLM-004,5500,400,Trade-in,0,8/10/2024,8/15/2024,11,INV-004
SLM-005,5000,300,Cash,1,8/12/2024,8/17/2024,10,INV-005
SLM-001,6000,320,Trade-in,1,8/15/2024,8/20/2024,9.8,INV-006
SLM-002,6500,370,Cash,0,8/18/2024,8/23/2024,12,INV-007
SLM-003,4900,340,Trade-in,1,8/20/2024,8/25/2024,8.5,INV-008
SLM-004,5600,420,Cash,0,8/22/2024,8/27/2024,10.2,INV-009
SLM-005,5300,310,Trade-in,1,8/25/2024,8/30/2024,11.5,INV-010
SLM-004,300,15000,Cash,1,8/25/2024,,2000,INV-KJQ
SLM-004,300,50,Trade-in,1,8/27/2024,,2.99,INV-KJQ
