sale_receipt_no,sale_cust_id,sale_sold_date,sale_labor_sell,sale_gold_sell,sale_price,sale_weight,sale_official_receipt
1234,,9/17/2024,12,345,1000.01,123,1
sdf,,9/5/2024,123,123,123,123,1
asd,,9/5/2024,123,123,123,123,1
1234,,10/13/2024,123,133,14444,111,1
1234,,10/13/2024,12121,1212,12121,12121,1
123,,10/13/2024,312312,123123,12312,123123,1
1212,,10/13/2024,150,125,750,4.8,1
121212,,10/13/2024,150,125,750,4.8,1
123,CUST_100001,12/9/2024,3,1,9,4,0
1234,CUST001,12/10/2024,4,1,9,5,0
1234,CUST001,12/10/2024,4,1,9,5,0
1234,CUST001,12/10/2024,4,1,9,5,0
1234,CUST001,12/10/2024,4,1,9,5,0
1234,CUST001,12/10/2024,4,1,9,5,0
