stk_pur_id,stk_type,stk_pattern,stk_weight,stk_size,stk_length,stk_labor_cost,stk_gold_cost,stk_gold_type,stk_returned,stk_remark,stk_tag
,EARRINGS,hoop,4.8,10,,90,120,916,0,,
,BRACELET,classic,15.6,16,,140,370,916,0,,
,NECKLACE,rope,30,,80,180,400,916,0,,
,RING,solitaire,3.5,5.5,,70,140,916,0,,
,EARRINGS,drop,6.3,12,,100,160,916,0,,
,PENDANT,heart,7.5,,25,110,175,916,0,,
,BANGLE,twisted,14.9,15,,135,320,916,0,,
,CHAIN,snake,25,,65,175,390,916,0,,
,RING,eternity,4.1,6.5,,85,155,916,0,,
,ANKLET,beaded,12.3,14,,120,345,916,0,,
,NECKLACE,twisted,35,,75,200,420,916,0,,
,RING,infinity,2.9,5,,65,130,916,0,,
,BRACELET,charm,13.2,15,,125,350,916,0,,
,PENDANT,floral,8,,28,115,180,916,0,,
,BRACELET,cartier,12.8,14.5,,120,345,916,0,,
,NECKLACE,candy,23.45,,60,150,340,916,0,,
,RING,diamond,5.2,7,,80,150,916,0,,
,EARRINGS,hoop,4.8,10,,90,120,916,0,,
,BRACELET,classic,15.6,16,,140,370,916,0,,
,NECKLACE,rope,30,,70,180,400,916,0,,
,RING,solitaire,3.5,5.5,,70,140,916,0,,
,EARRINGS,drop,6.3,12,,100,160,916,0,,
,PENDANT,heart,7.5,,25,110,175,916,0,,
,BANGLE,twisted,14.9,15,,135,320,916,0,,
,CHAIN,snake,25,,65,175,390,916,0,,
,RING,eternity,4.1,6.5,,85,155,916,0,,
,ANKLET,beaded,12.3,14,,120,345,916,0,,
,NECKLACE,twisted,35,,75,200,420,916,0,,
,RING,infinity,2.9,5,,65,130,916,0,,
,BRACELET,charm,13.2,15,,125,350,916,0,,
,PENDANT,floral,8,,28,115,180,916,0,,
,RING,Cartier,1.98,8,,50,300,916,0,,
,RING,Cartier,1.98,8,,50,300,916,0,,
,RING,Cartier,200,30,,200,400,916,0,,
,EARING,hoop,1.5,,,12,395,916,0,,
,BRACELET,cartier,12.8,14.5,,120,345,916,0,,
,NECKLACE,candy,23.45,,60,150,340,916,0,,
,RING,diamond,5.2,7,,80,150,916,0,,
,EARRINGS,hoop,4.8,10,,90,120,916,0,,
,BRACELET,classic,15.6,16,,140,370,916,0,,
,NECKLACE,rope,30,,70,180,400,916,0,,
,RING,solitaire,3.5,5.5,,70,140,916,0,,
,EARRINGS,drop,6.3,12,,100,160,916,0,,
,PENDANT,heart,7.5,,25,110,175,916,0,,
,BANGLE,twisted,14.9,15,,135,320,916,0,,
,CHAIN,snake,25,,65,175,390,916,0,,
,RING,eternity,4.1,6.5,,85,155,916,0,,
,ANKLET,beaded,12.3,14,,120,345,916,0,,
,NECKLACE,twisted,35,,75,200,420,916,0,,
,RING,infinity,2.9,5,,65,130,916,0,,
,BRACELET,charm,13.2,15,,125,350,916,0,,
,PENDANT,floral,8,,28,115,180,916,0,,
,EARRINGS,stud,7.1,12.5,,105,165,916,0,,
,BANGLE,engraved,16.8,16.5,,145,375,916,0,,
,CHAIN,cable,27,,70,185,400,916,0,,
,EARING,hoop,1.5,,,12,395,916,0,,
,EARING,hoop,1.5,,,12,395,916,0,,
,RING,cartier,3,8,,50,300,916,0,,
PUR_100003,EARING,hoop,1.5,,,12,395,999,0,,
,RING,Cartier,12,12,,12,123,916,0,,
,RING,Cartier,12,12,,12,123,916,0,,
,Bracelet,cartier,12.8,14.5,,120,345,916,0,,
,Necklace,candy,23.45,,60,150,340,916,0,,
,Ring,diamond,5.2,7,,80,150,916,0,,
,Earrings,hoop,4.8,10,,90,120,916,0,,
,Bracelet,classic,15.6,16,,140,370,916,0,,
,Necklace,rope,30,,70,180,400,916,0,,
,Ring,solitaire,3.5,5.5,,70,140,916,0,,
,Earrings,drop,6.3,12,,100,160,916,0,,
,Pendant,heart,7.5,,25,110,175,916,0,,
,Bangle,twisted,14.9,15,,135,320,916,0,,
,Chain,snake,25,,65,175,390,916,0,,
,Ring,eternity,4.1,6.5,,85,155,916,0,,
,Anklet,beaded,12.3,14,,120,345,916,0,,
,Necklace,twisted,35,,75,200,420,916,0,,
,Ring,infinity,2.9,5,,65,130,916,0,,
,Bracelet,charm,13.2,15,,125,350,916,0,,
,Pendant,floral,8,,28,115,180,916,0,,
,Earrings,stud,7.1,12.5,,105,165,916,0,,
,Bangle,engraved,16.8,16.5,,145,375,916,0,,
,Chain,cable,27,,70,185,400,916,0,,
